source,month,uer
1,1954.16666666667,0.0322513695008764
1,1954.25,0.0338503171892832
1,1954.33333333333,0.0350877613541158
1,1954.41666666667,0.0359637019953694
1,1954.5,0.0364781391130506
1,1954.58333333333,0.0366310727071517
1,1954.66666666667,0.0364225027776793
1,1954.75,0.0358524293246338
1,1954.83333333333,0.0349208523480077
1,1954.91666666667,0.0336277718478112
1,1955,0.0319731878240345
1,1955.08333333333,0.0304332249180249
1,1955.16666666667,0.0290078831297794
1,1955.25,0.0276971624593009
1,1955.33333333333,0.0265010629065888
1,1955.41666666667,0.0254195844716399
1,1955.5,0.0244527271544596
1,1955.58333333333,0.0236004909550423
1,1955.66666666667,0.0228628758733906
1,1955.75,0.0222398819095078
1,1955.83333333333,0.0217315090633848
1,1955.91666666667,0.0213377573350301
1,1956,0.0210586267244404
1,1956.08333333333,0.0208232181824022
1,1956.16666666667,0.02063153170892
1,1956.25,0.0204835673039873
1,1956.33333333333,0.0203793249676008
1,1956.41666666667,0.02031880469977
1,1956.5,0.0203020065004922
1,1956.58333333333,0.0203289303697655
1,1956.66666666667,0.0203995763075867
1,1956.75,0.0205139443139631
1,1956.83333333333,0.0206720343888915
1,1956.91666666667,0.0208738465323715
1,1957,0.0211193807444002
1,1957.08333333333,0.0216366677993464
1,1957.16666666667,0.0224257076972057
1,1957.25,0.0234865004379759
1,1957.33333333333,0.0248190460216616
1,1957.41666666667,0.0264233444482613
1,1957.5,0.0282993957177763
1,1957.58333333333,0.0304471998302033
1,1957.66666666667,0.0328667567855457
1,1957.75,0.0355580665837975
1,1957.83333333333,0.0385211292249664
1,1957.91666666667,0.0417559447090491
1,1958,0.0452625130360467
1,1958.08333333333,0.0482370752161359
1,1958.16666666667,0.050679631249329
1,1958.25,0.0525901811356187
1,1958.33333333333,0.0539687248750072
1,1958.41666666667,0.0548152624674913
1,1958.5,0.0551297939130711
1,1958.58333333333,0.054912319211751
1,1958.66666666667,0.0541628383635282
1,1958.75,0.0528813513683986
1,1958.83333333333,0.0510678582263727
1,1958.91666666667,0.0487223589374419
